repo,module,dependency_repo,dependency_module,required_version,indirect,replace_target,dependency_in_tracker,dependency_state,dependency_batch,dependency_tracker_tag,dependency_release_url,dependency_latest_local_tag,source,scanned_at
go-minitrace,github.com/go-go-golems/go-minitrace,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-minitrace,github.com/go-go-golems/go-minitrace,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-minitrace,github.com/go-go-golems/go-minitrace,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-sqlite-regexp,github.com/go-go-golems/go-sqlite-regexp,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
goja-git,github.com/go-go-golems/goja-git,glazed,github.com/go-go-golems/glazed,v1.3.5,1,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
goja-git,github.com/go-go-golems/goja-git,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
goja-git,github.com/go-go-golems/goja-git,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
goja-github-actions,github.com/go-go-golems/goja-github-actions,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
goja-github-actions,github.com/go-go-golems/goja-github-actions,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.2,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
goja-github-actions,github.com/go-go-golems/goja-github-actions,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
harkonnen,github.com/go-go-golems/harkonnen,glazed,github.com/go-go-golems/glazed,v0.5.15,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
harkonnen,github.com/go-go-golems/harkonnen,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
infra-tooling,github.com/go-go-golems/infra-tooling,glazed,github.com/go-go-golems/glazed,v1.3.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
infra-tooling,github.com/go-go-golems/infra-tooling,logcopter,github.com/go-go-golems/logcopter,v0.1.0,1,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
jesus,github.com/go-go-golems/jesus,clay,github.com/go-go-golems/clay,v0.4.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
jesus,github.com/go-go-golems/jesus,geppetto,github.com/go-go-golems/geppetto,v0.10.14,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
jesus,github.com/go-go-golems/jesus,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
jesus,github.com/go-go-golems/jesus,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.2,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
jesus,github.com/go-go-golems/jesus,go-go-mcp,github.com/go-go-golems/go-go-mcp,v0.0.17,0,,1,main_actions_verified,B4,,,v0.0.18,"go.mod require",2026-05-29T17:32:01+00:00
jesus,github.com/go-go-golems/jesus,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
jesus,github.com/go-go-golems/jesus,pinocchio,github.com/go-go-golems/pinocchio,v0.10.8,0,,1,planned,B5,,,v0.11.0,"go.mod require",2026-05-29T17:32:01+00:00
js-analyzer,github.com/go-go-golems/js-analyzer,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
js-analyzer,github.com/go-go-golems/js-analyzer,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.5,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
js-analyzer,github.com/go-go-golems/js-analyzer,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
loupedeck,github.com/go-go-golems/loupedeck,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
loupedeck,github.com/go-go-golems/loupedeck,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
loupedeck,github.com/go-go-golems/loupedeck,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
markdown-quizz,github.com/go-go-golems/XXX,glazed,github.com/go-go-golems/glazed,v0.7.8,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
markdown-quizz,github.com/go-go-golems/XXX,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
mastoid,github.com/go-go-golems/mastoid,clay,github.com/go-go-golems/clay,v0.1.6,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
mastoid,github.com/go-go-golems/mastoid,glazed,github.com/go-go-golems/glazed,v0.5.3,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
mastoid,github.com/go-go-golems/mastoid,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
oak,github.com/go-go-golems/oak,bobatea,github.com/go-go-golems/bobatea,v0.0.28,0,,1,main_actions_verified,B1,,,v0.1.5,"go.mod require",2026-05-29T17:32:01+00:00
oak,github.com/go-go-golems/oak,clay,github.com/go-go-golems/clay,v0.1.47,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
oak,github.com/go-go-golems/oak,glazed,github.com/go-go-golems/glazed,v0.6.12,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
oak,github.com/go-go-golems/oak,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
oak-git-db,github.com/go-go-golems/oak-git-db,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
openai-app-server,github.com/go-go-golems/openai-app-server,glazed,github.com/go-go-golems/glazed,v1.0.1,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
openai-app-server,github.com/go-go-golems/openai-app-server,go-go-goja,github.com/go-go-golems/go-go-goja,v0.3.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
openai-app-server,github.com/go-go-golems/openai-app-server,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
openai-mock-server,mock-openai-server,glazed,github.com/go-go-golems/glazed,v0.6.12,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
openai-mock-server,mock-openai-server,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
parka,github.com/go-go-golems/parka,clay,github.com/go-go-golems/clay,v0.4.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
parka,github.com/go-go-golems/parka,glazed,github.com/go-go-golems/glazed,v1.0.6,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
parka,github.com/go-go-golems/parka,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,bobatea,github.com/go-go-golems/bobatea,v0.1.5,0,,1,main_actions_verified,B1,,,v0.1.5,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,clay,github.com/go-go-golems/clay,v0.4.11,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,geppetto,github.com/go-go-golems/geppetto,v0.12.2,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,sanitize,github.com/go-go-golems/sanitize,v0.0.1,0,,1,main_actions_verified,B1,v0.0.2,https://github.com/go-go-golems/sanitize/releases/tag/v0.0.2,v0.0.2,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,sessionstream,github.com/go-go-golems/sessionstream,v0.0.5,0,,1,main_actions_verified,B4,,,v0.0.5,"go.mod require",2026-05-29T17:32:01+00:00
pinocchio,github.com/go-go-golems/pinocchio,uhoh,github.com/go-go-golems/uhoh,v0.0.8,0,,1,main_actions_verified,B4,,,v0.0.8,"go.mod require",2026-05-29T17:32:01+00:00
plunger,github.com/go-go-golems/plunger,clay,github.com/go-go-golems/clay,v0.0.2,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
plunger,github.com/go-go-golems/plunger,glazed,github.com/go-go-golems/glazed,v0.2.56,1,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
plz-confirm,github.com/go-go-golems/plz-confirm,glazed,github.com/go-go-golems/glazed,v1.0.1,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
plz-confirm,github.com/go-go-golems/plz-confirm,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
plz-confirm,github.com/go-go-golems/plz-confirm,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
prescribe,github.com/go-go-golems/prescribe,geppetto,github.com/go-go-golems/geppetto,v0.5.13,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
prescribe,github.com/go-go-golems/prescribe,glazed,github.com/go-go-golems/glazed,v0.7.6,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
prescribe,github.com/go-go-golems/prescribe,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
prompto,github.com/go-go-golems/prompto,clay,github.com/go-go-golems/clay,v0.4.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
prompto,github.com/go-go-golems/prompto,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
prompto,github.com/go-go-golems/prompto,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
refactorio,github.com/go-go-golems/refactorio,glazed,github.com/go-go-golems/glazed,v1.3.6,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
refactorio,github.com/go-go-golems/refactorio,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
refactorio,github.com/go-go-golems/refactorio,oak,github.com/go-go-golems/oak,v0.5.2,0,,1,main_actions_verified,B4,v0.5.2,,v0.5.2,"go.mod require",2026-05-29T17:32:01+00:00
remarquee,github.com/go-go-golems/remarquee,geppetto,github.com/go-go-golems/geppetto,v0.11.17,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
remarquee,github.com/go-go-golems/remarquee,glazed,github.com/go-go-golems/glazed,v1.2.7,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
remarquee,github.com/go-go-golems/remarquee,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
