repo,module,dependency_repo,dependency_module,required_version,indirect,replace_target,dependency_in_tracker,dependency_state,dependency_batch,dependency_tracker_tag,dependency_release_url,dependency_latest_local_tag,source,scanned_at
web-agent-example,github.com/go-go-golems/web-agent-example,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.2,1,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
web-agent-example,github.com/go-go-golems/web-agent-example,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
web-agent-example,github.com/go-go-golems/web-agent-example,pinocchio,github.com/go-go-golems/pinocchio,v0.10.8,0,,1,planned,B5,,,v0.11.0,"go.mod require",2026-05-29T17:32:01+00:00
workspace-manager,github.com/go-go-golems/workspace-manager,clay,github.com/go-go-golems/clay,v0.4.11,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
workspace-manager,github.com/go-go-golems/workspace-manager,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
workspace-manager,github.com/go-go-golems/workspace-manager,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
workspace-manager,github.com/go-go-golems/workspace-manager,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
zine-layout,github.com/go-go-golems/zine-layout,glazed,github.com/go-go-golems/glazed,v0.6.14,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
zine-layout,github.com/go-go-golems/zine-layout,go-emrichen,github.com/go-go-golems/go-emrichen,v0.0.10,0,,1,main_actions_verified,B4,,,v0.0.10,"go.mod require",2026-05-29T17:32:01+00:00
zine-layout,github.com/go-go-golems/zine-layout,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
