train_name,repo,layer,state,rationale,depends_on_json,dependents_json,scanned_at
verified_unreleased_go_mod_direct,refactorio,3,main_actions_verified,"Wait for oak.","[""oak""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,almanach,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,bobatea,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""go-go-agent"", ""oak""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,cliopatra,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,codex-sessions,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,devctl,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,docmgr,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,font-util,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,gitcommit,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,go-emrichen,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""escuse-me"", ""go-go-agent"", ""zine-layout""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,go-go-mcp,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""jesus"", ""smailnail""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,go-go-os-backend,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""go-go-app-inventory""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,harkonnen,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,js-analyzer,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,openai-mock-server,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,parka,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""escuse-me"", ""sqleton""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,plz-confirm,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""go-go-app-inventory""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,prescribe,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,prompto,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,remarquee,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,sessionstream,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""scraper""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,tactician,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,uhoh,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],"[""form-generator""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,vault-envrc-generator,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,vm-system,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,web-agent-example,1,main_actions_verified,"No unreleased tracker upstream in this train.",[],[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,escuse-me,2,main_actions_verified,"Wait for go-emrichen, parka.","[""go-emrichen"", ""parka""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,go-go-agent,2,main_actions_verified,"Wait for bobatea, go-emrichen.","[""bobatea"", ""go-emrichen""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,go-go-app-inventory,2,main_actions_verified,"Wait for go-go-os-backend, plz-confirm.","[""go-go-os-backend"", ""plz-confirm""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,jesus,2,main_actions_verified,"Wait for go-go-mcp.","[""go-go-mcp""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,oak,2,main_actions_verified,"Wait for bobatea.","[""bobatea""]","[""refactorio""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,scraper,2,main_actions_verified,"Wait for sessionstream.","[""sessionstream""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,smailnail,2,main_actions_verified,"Wait for go-go-mcp.","[""go-go-mcp""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,sqleton,2,main_actions_verified,"Wait for parka.","[""parka""]","[""form-generator""]",2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,zine-layout,2,main_actions_verified,"Wait for go-emrichen.","[""go-emrichen""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,form-generator,3,main_actions_verified,"Wait for sqleton, uhoh.","[""sqleton"", ""uhoh""]",[],2026-05-29T17:32:01+00:00
verified_unreleased_tracker_upstreams,refactorio,3,main_actions_verified,"Wait for oak.","[""oak""]",[],2026-05-29T17:32:01+00:00
